,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,date,week_day,day,month
5436,172853555,12/21/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,90,2.0,25-44,F,BLACK,1000565.0,196256.0,40.70534732300007,-73.94115744599996,2017-12-21,3,21,12
5600,172831118,12/20/2017,922.0,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110E2,F,K,90,0.0,25-44,M,BLACK,995799.0,199156.0,40.71331464000008,-73.95834220299997,2017-12-20,2,20,12
5812,172820249,12/20/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601002,F,K,90,0.0,18-24,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-20,2,20,12
5813,172820247,12/20/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,18-24,M,WHITE HISPANIC,995778.0,198024.0,40.71020759600003,-73.95841989199994,2017-12-20,2,20,12
5831,172808378,12/20/2017,419.0,"LARCENY,GRAND FROM PERSON,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553005,F,K,90,0.0,18-24,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-20,2,20,12
6008,172824955,12/20/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,18-24,M,WHITE HISPANIC,995778.0,198024.0,40.71020759600003,-73.95841989199994,2017-12-20,2,20,12
6070,172795914,12/20/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1702500,F,K,90,0.0,18-24,M,WHITE HISPANIC,999766.0,198820.0,40.71238633300004,-73.94403332299999,2017-12-20,2,20,12
6371,172815327,12/20/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,90,2.0,<18,F,WHITE HISPANIC,1000717.0,195111.0,40.70220428600004,-73.94061202099994,2017-12-20,2,20,12
6425,172815326,12/20/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553004,F,K,90,0.0,18-24,M,BLACK,997611.0,196294.0,40.705456577000064,-73.95181168499995,2017-12-20,2,20,12
6960,172760944,12/19/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,94,0.0,25-44,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-19,1,19,12
7355,172730160,12/18/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1554001,F,K,90,97.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-18,0,18,12
7365,172741389,12/18/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601503,F,K,94,0.0,18-24,M,BLACK HISPANIC,1000220.0,202107.0,40.721407552000066,-73.942387893,2017-12-18,0,18,12
7435,172744019,12/18/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,94,0.0,<18,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-18,0,18,12
7596,172727794,12/18/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,94,0.0,25-44,M,WHITE,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-18,0,18,12
7717,172730165,12/18/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,90,0.0,18-24,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-18,0,18,12
7872,172742791,12/18/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601503,F,K,94,0.0,18-24,M,WHITE HISPANIC,1000220.0,202107.0,40.721407552000066,-73.942387893,2017-12-18,0,18,12
7889,172742788,12/18/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601503,F,K,94,0.0,18-24,M,BLACK HISPANIC,1000220.0,202107.0,40.721407552000066,-73.942387893,2017-12-18,0,18,12
7992,172694397,12/17/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,90,2.0,25-44,M,WHITE HISPANIC,999701.0,195491.0,40.70324912900003,-73.94427542599993,2017-12-17,6,17,12
8011,172694398,12/17/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,90,2.0,25-44,M,WHITE HISPANIC,999701.0,195491.0,40.70324912900003,-73.94427542599993,2017-12-17,6,17,12
8062,172703103,12/17/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200512,F,K,94,0.0,45-64,M,WHITE,998887.0,204484.0,40.727934146000045,-73.94719166899995,2017-12-17,6,17,12
8211,172688549,12/17/2017,904.0,"INTOXICATED DRIVING,ALCOHOL",119.0,INTOXICATED/IMPAIRED DRIVING,VTL11920E3,F,K,90,0.0,25-44,M,WHITE HISPANIC,1003572.0,196455.0,40.705887476000036,-73.93031140499993,2017-12-17,6,17,12
8325,172695361,12/17/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,94,0.0,18-24,M,BLACK,999849.0,204016.0,40.72664795700007,-73.94372189199999,2017-12-17,6,17,12
8744,172666324,12/16/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,90,0.0,45-64,M,WHITE HISPANIC,997494.0,194954.0,40.70177876800005,-73.95223630899994,2017-12-16,5,16,12
8884,172683872,12/16/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,94,0.0,25-44,M,BLACK,996051.0,200907.0,40.71812038400003,-73.95743012599996,2017-12-16,5,16,12
9512,172629930,12/15/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,90,0.0,25-44,M,WHITE HISPANIC,1002486.0,195516.0,40.70331244700003,-73.9342309,2017-12-15,4,15,12
9517,172634714,12/15/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,90,0.0,18-24,F,WHITE HISPANIC,1000300.0,198340.0,40.711067895000035,-73.94210826499993,2017-12-15,4,15,12
9520,172637085,12/15/2017,502.0,"CONTROLLED SUBSTANCE,POSSESS. 3",117.0,DANGEROUS DRUGS,PL 2201612,F,K,90,0.0,25-44,M,WHITE HISPANIC,1003021.0,197136.0,40.70775784700004,-73.93229683799996,2017-12-15,4,15,12
9776,172634713,12/15/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,90,0.0,18-24,M,BLACK,1000300.0,198340.0,40.711067895000035,-73.94210826499993,2017-12-15,4,15,12
10275,172600971,12/14/2017,760.0,"BRIBERY,PUBLIC ADMINISTRATION",126.0,MISCELLANEOUS PENAL LAW,PL 2000000,F,K,90,0.0,45-64,M,UNKNOWN,1000011.0,194520.0,40.70058341500004,-73.94315964299993,2017-12-14,3,14,12
10856,172570596,12/13/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,94,0.0,45-64,M,BLACK,1001768.0,200786.0,40.71777879600006,-73.93680674999997,2017-12-13,2,13,12
11112,172586765,12/13/2017,501.0,"CONTROLLED SUBSTANCE,POSSESS. 2",117.0,DANGEROUS DRUGS,PL 2201803,F,K,90,0.0,45-64,M,WHITE,996210.0,198116.0,40.71045954200008,-73.956861502,2017-12-13,2,13,12
11218,172592850,12/13/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,WHITE HISPANIC,1000561.0,194639.0,40.70090904500006,-73.94117579,2017-12-13,2,13,12
11783,172553207,12/12/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,90,0.0,18-24,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-12,1,12,12
11922,172539976,12/12/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,25-44,M,BLACK,998911.0,196322.0,40.70553137300004,-73.94712285299995,2017-12-12,1,12,12
12217,172478703,12/11/2017,568.0,"MARIJUANA, POSSESSION 1, 2 & 3",117.0,DANGEROUS DRUGS,PL 2212500,F,K,90,2.0,25-44,M,BLACK,1001438.0,194908.0,40.70164572700002,-73.93801220099994,2017-12-11,0,11,12
12502,172504700,12/11/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,BLACK,1003954.0,197201.0,40.707934228000056,-73.92893143599997,2017-12-11,0,11,12
12592,172499288,12/11/2017,760.0,"BRIBERY,PUBLIC ADMINISTRATION",126.0,MISCELLANEOUS PENAL LAW,PL 2154002,F,K,94,0.0,25-44,M,WHITE HISPANIC,1001366.0,200586.0,40.717230631000064,-73.93825743899998,2017-12-11,0,11,12
12875,172480645,12/10/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,45-64,M,BLACK,999701.0,195491.0,40.70324912900003,-73.94427542599993,2017-12-10,6,10,12
12897,172470961,12/10/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,94,0.0,25-44,M,WHITE HISPANIC,1000053.0,200304.0,40.71645905100007,-73.94299459699994,2017-12-10,6,10,12
13003,172479011,12/10/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,94,0.0,18-24,M,BLACK,1000746.0,201116.0,40.71868653100006,-73.94049271799997,2017-12-10,6,10,12
13226,172459394,12/10/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,90,0.0,18-24,F,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-10,6,10,12
13301,172479009,12/10/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,94,0.0,<18,M,BLACK HISPANIC,1000746.0,201116.0,40.71868653100006,-73.94049271799997,2017-12-10,6,10,12
13302,172479013,12/10/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,94,0.0,<18,M,WHITE,1000746.0,201116.0,40.71868653100006,-73.94049271799997,2017-12-10,6,10,12
13476,172440167,12/09/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,25-44,M,WHITE HISPANIC,999800.0,198552.0,40.71165067700008,-73.94391129999997,2017-12-09,5,9,12
13837,172438966,12/09/2017,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,90,0.0,25-44,F,BLACK,999800.0,198552.0,40.71165067700008,-73.94391129999997,2017-12-09,5,9,12
14706,172411705,12/08/2017,764.0,BAIL JUMPING 1 & 2,126.0,MISCELLANEOUS PENAL LAW,PL 2155600,F,K,94,0.0,18-24,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-08,4,8,12
15034,172385267,12/07/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1701004,F,K,90,1.0,45-64,M,BLACK HISPANIC,1000351.0,194575.0,40.700733765000045,-73.94193330699994,2017-12-07,3,7,12
15240,172382977,12/07/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601501,F,K,94,1.0,18-24,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-07,3,7,12
15345,172394445,12/07/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 160102A,F,K,90,0.0,25-44,M,BLACK HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-07,3,7,12
15610,172373822,12/07/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,25-44,M,WHITE,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-07,3,7,12
15731,172310757,12/06/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,90,2.0,25-44,M,WHITE,1000534.0,198369.0,40.711147065000034,-73.94126414499993,2017-12-06,2,6,12
15743,172317382,12/06/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,94,0.0,18-24,M,WHITE HISPANIC,999867.0,201330.0,40.71927550400005,-73.94366318199997,2017-12-06,2,6,12
15907,172327287,12/06/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,94,0.0,25-44,F,BLACK HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-06,2,6,12
16362,172333148,12/06/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 120052X,F,K,94,0.0,18-24,M,WHITE HISPANIC,997112.0,206645.0,40.733868321000045,-73.95359167399994,2017-12-06,2,6,12
16444,172325250,12/06/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1554001,F,K,90,0.0,18-24,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-06,2,6,12
16445,172325249,12/06/2017,500.0,"CONTROLLED SUBSTANCE,POSSESS. 1",117.0,DANGEROUS DRUGS,PL 2202101,F,K,90,0.0,25-44,M,BLACK,1001414.0,195664.0,40.70372081700003,-73.93809683099995,2017-12-06,2,6,12
16652,172301766,12/05/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450500,F,K,90,0.0,18-24,M,BLACK,996908.0,199435.0,40.71407891200005,-73.95434132399998,2017-12-05,1,5,12
16663,172310039,12/05/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,90,0.0,18-24,M,WHITE HISPANIC,997087.0,196847.0,40.70697520800008,-73.95370056699994,2017-12-05,1,5,12
17540,172247938,12/04/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,94,0.0,18-24,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-04,0,4,12
17636,172263911,12/04/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601501,F,K,94,0.0,<18,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-04,0,4,12
17678,172254892,12/04/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601002,F,K,90,0.0,45-64,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-04,0,4,12
17772,172254886,12/04/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1600500,F,K,90,0.0,45-64,M,WHITE HISPANIC,995520.0,196636.0,40.706398197000055,-73.95935282099998,2017-12-04,0,4,12
17901,172233905,12/04/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,90,0.0,45-64,M,BLACK HISPANIC,995734.0,197465.0,40.708673331000064,-73.95857955299994,2017-12-04,0,4,12
17906,172228915,12/04/2017,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113.0,FORGERY,PL 1702500,F,K,90,2.0,25-44,M,BLACK,1001414.0,195664.0,40.70372081700003,-73.93809683099995,2017-12-04,0,4,12
18118,172228367,12/03/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200501,F,K,94,0.0,45-64,M,WHITE HISPANIC,996636.0,207635.0,40.73658630700004,-73.95530739499998,2017-12-03,6,3,12
18251,172228369,12/03/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,94,0.0,25-44,M,WHITE,1000374.0,200476.0,40.716930570000045,-73.94183622799993,2017-12-03,6,3,12
